Global #,Type,Pos,Side,Row,Panel,Output,Universe,Local Pixel
1,Vertex N/C,Bot,L,2,12,1,1,-1
2,Vertex N/C,Bot,R,2,12,1,1,-1
3,Vertex N/C,Top,R,1,12,1,1,-1
4,Vertex N/C,Top,L,1,12,1,1,-1
5,Vertex N/C,Bot,L,3,12,1,1,-1
6,Vertex N/C,Bot,R,3,12,1,1,-1
7,Vertex N/C,Top,R,2,11,1,1,-1
8,Vertex N/C,Top,L,2,11,1,1,-1
9,Vertex,Bot,L,4,11,1,1,1
10,Vertex,Bot,R,4,11,1,1,2
11,Vertex,Top,R,3,11,1,1,3
12,Vertex,Top,L,3,11,1,1,4
13,Vertex,Bot,L,5,11,1,1,5
14,Vertex,Bot,R,5,11,1,1,6
15,Vertex,Top,R,4,10,1,1,7
16,Vertex,Top,L,4,10,1,1,8
17,Vertex,Bot,L,6,10,1,1,9
18,Vertex,Bot,R,6,10,1,1,10
19,Vertex,Top,R,5,10,1,1,11
20,Vertex,Top,L,5,10,1,1,12
21,Vertex,Bot,L,7,10,1,1,13
22,Vertex,Bot,R,7,10,1,1,14
23,Vertex,Top,R,6,9,1,1,15
24,Vertex,Top,L,6,9,1,1,16
25,Top,Top,R,7,9,1,1,17
26,Top,Top,R,7,3,1,1,18
27,Vertex,Top,R,6,3,1,1,19
28,Vertex,Top,L,6,3,1,1,20
29,Vertex,Bot,L,7,4,1,1,21
30,Vertex,Bot,R,7,4,1,1,22
31,Vertex,Top,R,5,4,1,1,23
32,Vertex,Top,L,5,4,1,1,24
33,Vertex,Bot,L,6,4,1,1,25
34,Vertex,Bot,R,6,4,1,1,26
35,Vertex,Top,R,4,4,1,1,27
36,Vertex,Top,L,4,4,1,1,28
37,Vertex,Bot,L,5,5,1,1,29
38,Vertex,Bot,R,5,5,1,1,30
39,Vertex,Top,R,3,5,1,1,31
40,Vertex,Top,L,3,5,1,1,32
41,Vertex,Bot,L,4,5,1,1,33
42,Vertex,Bot,R,4,5,1,1,34
43,Vertex,Top,R,2,5,1,1,35
44,Vertex,Top,L,2,5,1,1,36
45,Vertex,Bot,L,3,6,1,1,37
46,Vertex,Bot,R,3,6,1,1,38
47,Vertex,Top,R,1,6,1,1,39
48,Vertex,Top,L,1,6,1,1,40
49,Vertex N/C,Bot,L,2,6,1,1,-1
50,Vertex N/C,Bot,R,2,6,1,1,-1
51,Vertex N/C,Bot,L,2,11,2,1,-1
52,Vertex N/C,Bot,R,2,11,2,1,-1
53,Vertex,Top,R,1,11,2,1,41
54,Vertex,Top,L,1,11,2,1,42
55,Vertex,Bot,L,3,11,2,1,43
56,Vertex,Bot,R,3,11,2,1,44
57,Vertex,Top,R,2,10,2,1,45
58,Vertex,Top,L,2,10,2,1,46
59,Vertex,Bot,L,4,10,2,1,47
60,Vertex,Bot,R,4,10,2,1,48
61,Vertex,Top,R,3,10,2,1,49
62,Vertex,Top,L,3,10,2,1,50
63,Vertex,Bot,L,5,10,2,1,51
64,Vertex,Bot,R,5,10,2,1,52
65,Vertex,Top,R,4,9,2,1,53
66,Vertex,Top,L,4,9,2,1,54
67,Vertex,Bot,L,6,9,2,1,55
68,Vertex,Bot,R,6,9,2,1,56
69,Vertex,Top,R,5,9,2,1,57
70,Vertex,Top,L,5,9,2,1,58
71,Vertex,Bot,L,7,9,2,1,59
72,Vertex,Bot,R,7,9,2,1,60
73,Vertex,Top,R,6,8,2,1,61
74,Vertex,Top,L,6,8,2,1,62
75,Top,Top,R,7,8,2,1,63
76,Top,Top,R,7,2,2,1,64
77,Vertex,Top,R,6,2,2,1,65
78,Vertex,Top,L,6,2,2,1,66
79,Vertex,Bot,L,7,3,2,1,67
80,Vertex,Bot,R,7,3,2,1,68
81,Vertex,Top,R,5,3,2,1,69
82,Vertex,Top,L,5,3,2,1,70
83,Vertex,Bot,L,6,3,2,1,71
84,Vertex,Bot,R,6,3,2,1,72
85,Vertex,Top,R,4,3,2,1,73
86,Vertex,Top,L,4,3,2,1,74
87,Vertex,Bot,L,5,4,2,1,75
88,Vertex,Bot,R,5,4,2,1,76
89,Vertex,Top,R,3,4,2,1,77
90,Vertex,Top,L,3,4,2,1,78
91,Vertex,Bot,L,4,4,2,1,79
92,Vertex,Bot,R,4,4,2,1,80
93,Vertex,Top,R,2,4,2,1,81
94,Vertex,Top,L,2,4,2,1,82
95,Vertex,Bot,L,3,5,2,1,83
96,Vertex,Bot,R,3,5,2,1,84
97,Vertex,Top,R,1,5,2,1,85
98,Vertex,Top,L,1,5,2,1,86
99,Vertex,Bot,L,2,5,2,1,87
100,Vertex,Bot,R,2,5,2,1,88
101,Vertex,Bot,L,2,10,3,1,89
102,Vertex,Bot,R,2,10,3,1,90
103,Vertex,Top,R,1,10,3,1,91
